id,iirep_serial,quotagerange,gender_non_binary,resp_gender,respondent_gender_recoded,cl01stdregion,cl02state,cl04nse,screener4,idp22,idp23,idp24,idp25_1,idp25_2,idp25_3,idp25_4,idp25_5,idp25_6,idp25_7,idp25_8,idp25_9,idp25_10,idp25_11,idp25_12,idp25_13,idp25_14,idp25_15,idp25_16,idp26,idp27_1,idp27_2,idp27_3,idp27_4,idp27_5,idp28l307,idp28l308,idp28l309,idp28l310,idp28l311,idp29_1,idp29_2,idp29_3,idp29_4,idp29_5,idp30l317,idp30l318,idp30l319,idp30l320,idp30l321,idp31_1,idp31_2,idp31_3,idp31_4,idp32l327,idp32l328,idp32l329,idp32l330,idp33,idp34,idp35,idp36,idp37,idp38,idp39_1,idp39_2,idp39_3,idp39_4,idp40l366,idp40l367,idp40l368,idp40l369,idp41_1,idp41_2,idp41_3,idp41_4,idp41_5,idp41_6,idp42l375,idp42l376,idp42l377,idp42l378,idp42l379,idp42l380,idp43_1,idp43_2,idp43_3,idp43_4,idp43_5,idp43_6,idp43_7,idp44l384,idp44l385,idp44l386,idp44l387,idp44l388,idp44l389,idp44l390,idp46l393,idp46l394,idp46l395,idp46l396,idp46l397,idp46l398,idp46l399,idp47_1,idp47_2,idp47_3,idp48l400,idp48l401,idp48l402,idp49_1,idp49_2,idp49_3,idp49_4,idp50l408,idp50l409,idp50l410,idp50l411,idp54,idp55_1,idp55_2,idp55_3,idp56l421,idp56l422,idp56l423,idp57_1,idp57_2,idp58l431,idp58l432,idp60,idp61,idp62,idp63,idp64,idp65,idp66,idp67,age_group,idp60clone1,idp62clone1,cl02stat_eclone1,idp67clone1,ponderador,gse
1,8,2,1,2,2,1,13,2,2,9,4,5,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,1,1,1,1,1,5,5,5,5,5,1,1,1,1,1,5,5,5,5,5,1,1,1,1,4,4,2,2,1,6,1,1,2,5,1,1,1,1,5,2,2,1,1,1,1,1,1,1,3,3,3,3,3,3,1,1,1,1,1,1,1,1,1,2,1,1,1,1,8,0,2,0,0,0,0,1,1,1,5,5,5,1,1,1,1,1,5,5,2,2,1,1,1,7,7,7,1,1,7,7,10,1,10,2,3,2,1,6,2,12,16,13,6,1.12699178939832,ABC1
2,5,2,1,2,2,1,5,3,3,12,5,3,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,2,1,1,1,1,1,1,2,1,3,4,1,1,1,1,1,5,2,5,2,1,1,1,1,1,5,5,1,2,1,4,2,2,2,4,1,1,1,1,5,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,5,2,1,2,1,1,1,5,7,6,1,1,7,7,9,1,5,2,4,2,1,3,2,12,14,18,13,0.1335068259365,ABC1
3,4,2,2,1,1,1,13,2,2,3,3,2,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,4,5,5,5,4,1,1,1,1,1,2,4,2,4,4,1,1,1,1,2,2,4,3,5,4,1,1,3,2,1,1,1,1,1,3,4,2,1,1,1,1,1,1,3,3,3,3,3,3,1,1,1,1,1,1,1,2,2,2,1,1,1,2,1,1,1,3,1,2,1,1,1,1,5,3,3,1,1,1,1,3,3,5,3,2,1,1,1,1,4,3,1,1,1,1,9,1,10,4,2,3,3,8,2,12,16,13,14,0.64896419377163,ABC1
4,1,2,1,2,2,1,13,5,2,3,2,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,1,1,1,1,3,4,1,5,5,1,1,1,1,1,4,4,4,4,4,1,1,1,1,4,4,5,5,3,1,1,1,1,5,1,1,1,1,4,4,4,4,1,1,1,1,1,1,1,2,3,3,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,3,0,2,4,1,0,1,1,1,3,4,4,1,1,1,1,1,3,4,4,2,1,1,1,7,7,6,1,1,6,5,7,5,4,2,2,4,5,8,2,11,13,13,14,0.11057580414589,C3
5,6,2,1,2,2,5,8,6,1,9,5,5,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2,1,1,1,1,1,3,3,1,5,3,1,1,1,1,1,5,3,3,3,1,1,1,1,1,5,5,1,1,3,6,3,2,3,4,1,1,1,1,3,3,4,2,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,5,0,3,1,0,1,0,1,1,1,3,1,1,1,1,1,1,3,4,4,3,2,1,1,1,5,5,5,1,1,2,5,9,1,2,1,3,1,1,12,2,12,12,19,12,0.15139673024037,D
6,3,2,2,1,1,2,4,6,2,12,4,2,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,3,1,1,1,1,1,4,4,2,3,3,1,1,1,1,1,3,4,3,2,4,1,1,1,1,4,3,3,4,4,3,3,2,1,4,1,1,1,1,4,4,3,3,1,1,1,1,1,1,3,2,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,1,1,1,1,1,1,1,4,3,4,1,1,1,1,3,3,4,4,2,1,1,1,4,5,5,1,1,4,5,7,4,2,2,3,3,4,7,2,11,12,17,14,0.10205439297262,D
7,7,2,1,2,2,5,9,2,2,6,5,5,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2,1,1,1,1,1,2,2,2,4,3,1,1,1,1,1,5,2,5,1,1,1,1,1,1,5,5,1,1,6,2,2,2,2,4,1,1,1,1,4,1,1,1,1,1,1,1,1,1,3,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,1,1,1,1,1,1,1,4,1,1,1,1,1,1,2,4,3,2,2,1,1,1,6,5,6,1,1,6,6,9,1,8,3,3,2,3,2,2,12,15,19,13,0.68787626275319,ABC1
8,2,2,1,2,2,3,15,2,1,4,2,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,5,4,4,5,5,1,1,1,1,1,4,5,4,5,4,1,1,1,1,4,4,4,4,2,3,2,1,3,3,1,1,1,1,1,4,5,5,1,1,1,1,1,1,2,2,2,2,2,2,1,1,1,1,1,1,1,1,2,2,2,1,1,2,1,2,1,3,1,1,1,1,1,1,4,4,4,1,1,1,1,4,3,4,3,2,1,1,1,4,4,5,1,1,6,1,9,1,9,4,2,3,4,7,2,12,16,17,14,1.59286146954698,ABC1
9,18,2,1,2,2,1,13,2,2,6,4,3,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,1,1,4,5,5,5,4,1,1,1,1,1,1,4,2,4,4,1,1,1,1,2,2,5,5,4,2,1,1,3,5,1,1,1,1,5,4,3,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,3,2,1,1,0,2,1,1,1,1,4,1,1,1,1,1,1,1,2,5,5,2,1,1,1,4,4,7,1,1,3,5,9,4,9,2,4,2,3,8,2,12,16,13,14,1.12699178939832,ABC1
10,13,2,1,2,2,5,9,5,1,12,3,2,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,3,3,4,4,3,1,1,1,1,1,4,3,4,3,3,1,1,1,1,3,4,3,4,2,4,2,3,3,3,1,1,1,1,3,2,2,2,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,3,2,0,1,1,1,1,4,2,2,1,1,1,1,2,3,4,3,2,1,1,1,5,5,4,1,1,5,5,7,5,3,3,3,2,4,9,2,11,13,19,14,0.19831777178165,C3
11,28,1,1,2,2,1,5,5,3,10,5,5,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1,5,4,1,5,3,1,1,1,1,1,5,1,5,1,1,1,1,1,1,5,5,1,1,2,3,2,2,2,3,1,1,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,1,2,1,1,1,1,1,1,3,1,1,1,1,1,1,2,4,5,3,2,1,1,1,7,7,5,1,1,6,5,9,1,6,2,2,2,2,3,1,12,14,18,13,0.16938666757714,C3
